date, value
2017-05-12,47.8400
2017-05-15,48.8500
2017-05-16,48.6600
2017-05-17,49.1380
2017-05-18,49.4740
2017-05-19,50.5340
2017-05-22,51.0500
2017-05-23,51.4700
2017-05-24,51.3600
2017-05-25,48.9000
2017-05-26,49.8000
2017-05-30,49.6600
2017-05-31,48.3200
2017-06-01,48.3600
2017-06-02,47.6600
2017-06-05,47.4000
2017-06-06,48.1900
2017-06-07,45.7200
2017-06-08,45.6400
2017-06-09,45.8300
2017-06-12,46.0800
2017-06-13,46.4600
2017-06-14,44.7300
2017-06-15,44.5040
2017-06-16,44.8320
2017-06-19,44.3380
2017-06-20,43.4540
2017-06-21,42.5300
2017-06-22,42.7400
2017-06-23,43.0100
2017-06-26,43.3800
2017-06-27,44.2400
2017-06-28,44.7400
2017-06-29,44.9300
2017-06-30,46.0400
2017-07-03,47.0700
2017-07-05,45.1300
2017-07-06,45.5200
2017-07-07,44.2300
2017-07-10,44.4000
2017-07-11,45.0400
2017-07-12,45.4900
2017-07-13,46.0800
2017-07-14,46.5400
2017-07-17,46.0620
2017-07-18,46.4760
2017-07-19,47.2400
2017-07-20,46.8940
2017-07-21,45.7700
2017-07-24,46.3400
2017-07-25,47.8900
2017-07-26,48.7500
2017-07-27,49.0400
2017-07-28,49.7100
2017-07-31,50.1700
2017-08-01,49.1600
2017-08-02,49.5900
2017-08-03,49.0300
2017-08-04,49.5800
2017-08-07,49.3900
2017-08-08,49.1700
2017-08-09,49.5600
2017-08-10,48.5900
2017-08-11,48.8200
2017-08-14,47.5900
2017-08-15,47.5500
2017-08-16,46.7800
2017-08-17,47.1200
2017-08-18,48.5700
2017-08-21,47.4660
2017-08-22,47.7920
2017-08-23,48.4100
2017-08-24,47.4300
2017-08-25,47.8700
2017-08-28,46.5700
2017-08-29,46.4400
2017-08-30,45.9600
2017-08-31,47.2300
2017-09-01,47.2900
2017-09-05,48.6600
2017-09-06,49.1600
2017-09-07,49.0900
2017-09-08,47.4800
2017-09-11,48.0700
2017-09-12,48.2300
2017-09-13,49.3000
2017-09-14,49.8900
